#DATE, TOTAL_LOAD
2011-06-01 00:15,639691.499583
2011-06-01 00:30,624777.006874
2011-06-01 00:45,610658.780201
2011-06-01 01:00,597351.542302
2011-06-01 01:15,583547.506936
2011-06-01 01:30,571389.830015
2011-06-01 01:45,560343.407456
2011-06-01 02:00,551525.290425
2011-06-01 02:15,542666.047335
2011-06-01 02:30,534054.324608
2011-06-01 02:45,527229.269116
2011-06-01 03:00,521321.159045
2011-06-01 03:15,517443.738776
2011-06-01 03:30,514775.350686
2011-06-01 03:45,513910.310002
2011-06-01 04:00,512664.39824
2011-06-01 04:15,518248.395095
2011-06-01 04:30,523735.493387
2011-06-01 04:45,531642.520912
2011-06-01 05:00,539804.181369
2011-06-01 05:15,557651.500045
2011-06-01 05:30,562921.416443
2011-06-01 05:45,561574.750837
2011-06-01 06:00,565185.969857
2011-06-01 06:15,574941.872667
2011-06-01 06:30,582956.993064
2011-06-01 06:45,590946.283197
2011-06-01 07:00,601320.194217
2011-06-01 07:15,618024.39378
2011-06-01 07:30,634465.671357
2011-06-01 07:45,651914.56562
2011-06-01 08:00,671638.474561
2011-06-01 08:15,692407.229829
2011-06-01 08:30,714115.107732
2011-06-01 08:45,734762.473008
2011-06-01 09:00,757020.305782
2011-06-01 09:15,781895.520134
2011-06-01 09:30,806975.292667
2011-06-01 09:45,834056.034142
2011-06-01 10:00,858674.832785
2011-06-01 10:15,882581.870573
2011-06-01 10:30,907958.212653
2011-06-01 10:45,932853.798438
2011-06-01 11:00,955848.962323
2011-06-01 11:15,976532.136925
2011-06-01 11:30,999303.465594
2011-06-01 11:45,1.021955948117e6
2011-06-01 12:00,1.042884170353e6
2011-06-01 12:15,1.062986440633e6
2011-06-01 12:30,1.082456388184e6
2011-06-01 12:45,1.100067291877e6
2011-06-01 13:00,1.116358894667e6
2011-06-01 13:15,1.129508171192e6
2011-06-01 13:30,1.142403424084e6
2011-06-01 13:45,1.15404120414e6
2011-06-01 14:00,1.164494468015e6
2011-06-01 14:15,1.173977358182e6
2011-06-01 14:30,1.185001241619e6
2011-06-01 14:45,1.196286044696e6
2011-06-01 15:00,1.205532601153e6
2011-06-01 15:15,1.211862542181e6
2011-06-01 15:30,1.216610224959e6
2011-06-01 15:45,1.219611351433e6
2011-06-01 16:00,1.21900101765e6
2011-06-01 16:15,1.214079739112e6
2011-06-01 16:30,1.212645467668e6
2011-06-01 16:45,1.209311324489e6
2011-06-01 17:00,1.203360221849e6
2011-06-01 17:15,1.190538769091e6
2011-06-01 17:30,1.180040505678e6
2011-06-01 17:45,1.168639139167e6
2011-06-01 18:00,1.156309917979e6
2011-06-01 18:15,1.138865460794e6
2011-06-01 18:30,1.121675401226e6
2011-06-01 18:45,1.105097857501e6
2011-06-01 19:00,1.089531562533e6
2011-06-01 19:15,1.07478716927e6
2011-06-01 19:30,1.069891470741e6
2011-06-01 19:45,1.068032432901e6
2011-06-01 20:00,1.058069699628e6
2011-06-01 20:15,1.041928719751e6
2011-06-01 20:30,1.022208987522e6
2011-06-01 20:45,999940.977941
2011-06-01 21:00,975716.196122
2011-06-01 21:15,947735.77777
2011-06-01 21:30,918800.905843
2011-06-01 21:45,889055.504658
2011-06-01 22:00,858383.153289
2011-06-01 22:15,827161.15187
2011-06-01 22:30,794525.48749
2011-06-01 22:45,765797.983346
