# DATE, TEMPERATURE [F], HUMIDITY [%], PRESSURE [inHg], WIND_SPEED [m/s], RAINFALL [mm]
2011-05-30 17:00,86.635,51.563,29.941,7.523,0
2011-05-30 18:00,84.931,56.044,29.945,7.453,0
2011-05-30 19:00,83.1,61.551,29.952,6.93,0
2011-05-30 20:00,80.823,69.142,29.967,6.979,0
2011-05-30 21:00,79.305,75.395,29.983,6.677,0
2011-05-30 22:00,78.405,77.954,30.002,7.082,0
2011-05-30 23:00,77.997,79.315,30.029,5.736,0
2011-05-31 00:00,77.719,80.263,30.034,5.736,0
2011-05-31 01:00,77.395,81.443,30.026,5.133,0
2011-05-31 02:00,77.168,82.721,30.023,5.244,0
2011-05-31 03:00,76.852,83.642,30.021,5.084,0
2011-05-31 04:00,76.479,84.247,30.019,4.238,0
2011-05-31 05:00,76.229,85.728,30.036,3.109,0
2011-05-31 06:00,75.958,86.363,30.056,2.192,0
2011-05-31 07:00,76.175,86.304,30.071,2.826,0
2011-05-31 08:00,78.103,81.338,30.083,4.544,0
2011-05-31 09:00,80.291,72.487,30.111,4.552,0
2011-05-31 10:00,83.057,62.635,30.12,4.552,0
2011-05-31 11:00,85.344,55.17,30.135,4.627,0
2011-05-31 12:00,87.396,49.731,30.14,4.159,0
2011-05-31 13:00,88.319,46.929,30.081,5.803,0
2011-05-31 14:00,89.898,44.076,30.115,4.817,0
2011-05-31 15:00,90.113,44.338,30.101,5.74,0
2011-05-31 16:00,89.273,47.633,30.089,6.351,0
2011-05-31 17:00,88.169,49.683,30.088,6.865,0
2011-05-31 18:00,87.5,48.572,30.091,6.12,0
2011-05-31 19:00,85.629,51.509,30.103,5.907,0
2011-05-31 20:00,82.608,60.541,30.119,5.529,0
2011-05-31 21:00,80.175,68.528,30.129,4.153,0
2011-05-31 22:00,78.553,75.94,30.152,3.836,0
2011-05-31 23:00,77.126,83.194,30.161,4.207,0
2011-06-01 00:00,76.512,85.126,30.162,2.643,0
2011-06-01 01:00,75.832,86.692,30.165,2.488,0
2011-06-01 02:00,75.037,88.306,30.168,1.053,0
2011-06-01 03:00,74.048,90.432,30.166,0.688,0
2011-06-01 04:00,73.051,92.432,30.168,0.409,0
2011-06-01 05:00,72.214,93.32,30.182,0.113,0
2011-06-01 06:00,72.053,94.706,30.181,1.027,0
2011-06-01 07:00,72.633,94.064,30.193,1.108,0
2011-06-01 08:00,76.049,86.006,30.187,2.227,0
2011-06-01 09:00,79.874,70.17,30.193,1.729,0
2011-06-01 10:00,83.457,54.6,30.197,2.02,0
2011-06-01 11:00,86.494,44.994,30.193,2.755,0
2011-06-01 12:00,88.827,40.17,30.183,4.011,0
2011-06-01 13:00,90.01,37.944,30.16,5.587,0
2011-06-01 14:00,91.384,34.596,30.135,6.174,0
2011-06-01 15:00,92.071,32.739,30.11,5.564,0
2011-06-01 16:00,92.292,32.633,30.091,5.815,0
2011-06-01 17:00,92.041,32.923,30.077,5.504,0
2011-06-01 18:00,91.2,33.864,30.061,4.977,0
2011-06-01 19:00,89.959,34.5,30.052,4.908,0
2011-06-01 20:00,87.207,38.332,30.057,4.811,0
2011-06-01 21:00,84.521,42.096,30.054,4.037,0
2011-06-01 22:00,82.285,46.107,30.061,3.496,0
2011-06-01 23:00,80.417,50.658,30.062,2.488,0
2011-06-02 00:00,78.823,56.761,30.06,1.967,0
2011-06-02 01:00,77.131,62.159,30.063,1.452,0
2011-06-02 02:00,75.869,69.095,30.073,1.005,0
2011-06-02 03:00,74.91,73.579,30.066,1.291,0
2011-06-02 04:00,74.014,76.94,30.056,1.175,0
2011-06-02 05:00,73.17,79.827,30.047,1.863,0
2011-06-02 06:00,72.666,81.833,30.041,1.236,0
2011-06-02 07:00,72.969,82.052,30.061,1.155,0
2011-06-02 08:00,75.964,74.073,30.083,2.345,0
2011-06-02 09:00,79.373,63.314,30.089,3.223,0
2011-06-02 10:00,83.355,51.297,30.074,2.279,0
2011-06-02 11:00,86.804,43.721,30.057,1.985,0
2011-06-02 12:00,89.985,37.877,30.048,1.979,0
2011-06-02 13:00,92.244,35.34,30.015,2.606,0
2011-06-02 14:00,93.777,33.896,29.99,3.134,0
2011-06-02 15:00,94.598,32.617,29.971,3.439,0
2011-06-02 16:00,95.15,32.128,29.952,3.958,0
2011-06-02 17:00,94.953,32.182,29.938,4.052,0
2011-06-02 18:00,94.786,31.428,29.924,3.38,0
2011-06-02 19:00,93.558,32.358,29.907,3.879,0
2011-06-02 20:00,91.246,35.985,29.909,3.899,0
2011-06-02 21:00,88.513,41.722,29.906,3.727,0
2011-06-02 22:00,86.819,44.513,29.927,1.359,0
2011-06-02 23:00,84.679,49.032,29.946,1.474,0
2011-06-03 00:00,83.132,52.593,29.952,1.547,0
2011-06-03 01:00,82.035,55.306,29.956,2.068,0
2011-06-03 02:00,81.008,59.767,29.957,2.388,0
2011-06-03 03:00,80.177,66.854,29.954,2.826,0
2011-06-03 04:00,79.11,75.428,29.97,2.01,0
2011-06-03 05:00,78.13,81.611,29.981,1.608,0
2011-06-03 06:00,77.278,84.75,29.996,1.647,0
2011-06-03 07:00,77.431,84.206,30.011,1.742,0
2011-06-03 08:00,79.755,75.5,30.01,3.611,0
2011-06-03 09:00,81.83,67.62,30.018,4.278,0
2011-06-03 10:00,83.83,60.289,30.021,4.695,0
2011-06-03 11:00,86.035,52.843,30.018,4.428,0
2011-06-03 12:00,87.866,47.154,30.013,5.572,0
2011-06-03 13:00,89.112,41.997,30.001,6.458,0
2011-06-03 14:00,89.897,40.416,29.991,6.802,0
2011-06-03 15:00,90.06,38.595,29.988,6.911,0
2011-06-03 16:00,89.763,38.158,29.981,6.814,0
2011-06-03 17:00,89.209,40.516,29.977,6.458,0
2011-06-03 18:00,87.497,44.461,29.979,6.061,0
2011-06-03 19:00,85.638,48.331,29.986,5.493,0
2011-06-03 20:00,82.85,55.608,30.002,4.902,0
2011-06-03 21:00,80.214,63.293,30.013,4.842,0
2011-06-03 22:00,78.558,68.945,30.028,3.733,0
2011-06-03 23:00,77.346,73.46,30.049,2.753,0
2011-06-04 00:00,76.53,77.389,30.056,2.794,0
2011-06-04 01:00,75.709,80.299,30.051,3.175,0
2011-06-04 02:00,75.004,82.43,30.036,2.943,0
2011-06-04 03:00,74.383,84.774,30.036,1.679,0
2011-06-04 04:00,73.382,87.205,30.063,0.301,0
2011-06-04 05:00,72.962,88.649,30.074,0.645,0
2011-06-04 06:00,72.113,90.655,30.086,1.302,0
2011-06-04 07:00,71.987,91.27,30.099,1.729,0
2011-06-04 08:00,75.181,84.25,30.113,2.405,0
2011-06-04 09:00,79.526,72.378,30.124,1.384,0
2011-06-04 10:00,82.129,62.616,30.125,2.457,0
2011-06-04 11:00,85.008,52.816,30.117,2.598,0
2011-06-04 12:00,88.031,43.03,30.109,3.568,0
2011-06-04 13:00,90.417,35.216,30.093,4.234,0
2011-06-04 14:00,92.11,27.782,30.081,4.933,0
2011-06-04 15:00,92.577,26.647,30.072,5.931,0
2011-06-04 16:00,92.406,27.283,30.063,6.067,0
2011-06-04 17:00,91.96,29.746,30.056,5.202,0
2011-06-04 18:00,91.243,27.802,30.048,5.281,0
2011-06-04 19:00,89.413,28.81,30.046,4.775,0
2011-06-04 20:00,86.801,35.49,30.058,3.637,0
2011-06-04 21:00,83.469,44.144,30.07,3.559,0
2011-06-04 22:00,81.234,52.536,30.088,3.215,0
2011-06-04 23:00,79.493,59.157,30.097,2.537,0
2011-06-05 00:00,78.191,63.568,30.091,1.67,0
2011-06-05 01:00,76.978,67.175,30.088,1.244,0
2011-06-05 02:00,76.083,71.303,30.074,0.97,0
2011-06-05 03:00,75.189,74.285,30.064,1.051,0
2011-06-05 04:00,74.562,76.111,30.073,0.611,0
2011-06-05 05:00,74.245,78.23,30.084,1.767,0
2011-06-05 06:00,74.152,79.308,30.086,1.76,0
2011-06-05 07:00,73.924,80.192,30.096,2.332,0
2011-06-05 08:00,76.15,74.517,30.106,2.721,0
2011-06-05 09:00,79.786,64.05,30.1,2.617,0
2011-06-05 10:00,84.501,50.174,30.09,2.365,0
2011-06-05 11:00,89.149,40.359,30.086,2.252,0
2011-06-05 12:00,91.935,37.106,30.075,3.062,0
2011-06-05 13:00,94.128,34.362,30.053,3.535,0
2011-06-05 14:00,97.987,32.229,30.025,3.465,0
2011-06-05 15:00,97.111,29.381,29.997,3.793,0
2011-06-05 16:00,98.295,26.886,29.966,3.275,0
2011-06-05 17:00,96.451,28.069,29.943,4.672,0.08
2011-06-05 18:00,84.551,42.589,29.942,4.776,0.09
2011-06-05 19:00,85.714,45.819,29.951,1.836,0.34
2011-06-05 20:00,85.075,47.236,29.979,2.458,0
2011-06-05 21:00,83.81,50.943,29.971,1.605,0
2011-06-05 22:00,82.944,53.6,30.002,1.874,0
2011-06-05 23:00,81.834,54.525,30.005,1.834,0
2011-06-06 00:00,81.391,54.005,29.987,0.855,0
2011-06-06 01:00,80.115,57.129,29.978,2.631,0.02
2011-06-06 02:00,78.902,59.849,29.956,1.184,0.02
2011-06-06 03:00,77.783,63.076,29.946,0.509,0
2011-06-06 04:00,76.483,67.089,29.956,0.753,0.01
2011-06-06 05:00,75.735,69.063,29.956,0.272,0
2011-06-06 06:00,75.259,71.739,29.963,0.552,0
2011-06-06 07:00,75.48,71.701,29.966,0.822,0
2011-06-06 08:00,79.239,61.891,29.969,2.343,0
2011-06-06 09:00,82.299,54.371,29.973,2.843,0
2011-06-06 10:00,86.201,47.208,29.968,2.602,0
2011-06-06 11:00,90.113,39.053,29.957,3.215,0
2011-06-06 12:00,93.545,33.975,29.949,2.758,0
2011-06-06 13:00,95.69,29.178,29.927,3.706,0
2011-06-06 14:00,96.904,27.126,29.898,3.871,0
2011-06-06 15:00,97.577,23.281,29.859,3.658,0
2011-06-06 16:00,84.053,45.073,29.862,6.994,0.53
2011-06-06 17:00,82.488,52.019,29.886,4.919,0.01
2011-06-06 18:00,76.898,68.573,29.913,3.981,0.02
2011-06-06 19:00,77.453,70.553,29.91,1.068,0
2011-06-06 20:00,78.2,68.3,29.906,1.563,0
2011-06-06 21:00,78.863,63.404,29.9,2.779,0
2011-06-06 22:00,78.393,60.808,29.905,0.48,0
2011-06-06 23:00,76.947,64.244,29.911,0.473,0
